"Timing","Year","Reduction"
"March",2013,90.7667290203985
"March",2013,93.7588648084459
"March",2013,71.3893631918142
"March",2013,91.8689434477451
"March",2013,52.2337122292523
"March",2013,89.5372760681586
"March",2013,94.7054735101434
"March",2013,76.7912254292653
"March",2013,88.1401299839061
"March",2013,93.3778264937829
"March",2013,91.9802970332168
"March",2013,87.7693887287507
"March",2013,88.4104213507663
"March",2013,94.3954752975499
"March",2013,86.0559571387726
"March",2013,94.2545854141977
"March",2013,93.4724957427909
"March",2013,92.7915448518262
"March",2013,76.6299990368485
"March",2013,92.7173028876822
"March",2013,69.1049995947305
"March",2013,91.0038737297331
"March",2013,84.8266109428469
"March",2013,83.8180167328824
"March",2013,93.6276712883401
"March",2013,88.861501121603
"March",2013,65.9828243873935
"March",2013,94.4348088414816
"March",2013,92.170792947889
"March",2013,78.2428515268229
"March",2013,93.1394611114572
"March",2013,91.8783582464038
"March",2013,83.2514560428652
"March",2013,93.9442311486124
"March",2013,93.6318988036621
"March",2013,68.6522296333219
"March",2013,89.7705277996347
"March",2013,92.0744479626388
"March",2013,90.2811141003731
"March",2013,90.9455203737861
"March",2013,92.5667011458326
"March",2013,92.650460310558
"March",2013,64.154152585778
"March",2013,43.1840889982128
"March",2013,93.9204348755622
"March",2013,94.4082742880984
"March",2013,93.0457480589218
"March",2013,93.0137983671997
"March",2013,54.7353209906691
"March",2013,84.9514974814125
"March",2013,90.849800992461
"March",2013,93.2921399836256
"March",2013,87.4815872386432
"March",2013,80.7820075618763
"March",2013,91.1375369124456
"March",2013,94.0905572831034
"March",2013,94.4477512912178
"March",2013,83.3865968810762
"March",2013,68.818309281774
"March",2013,91.4841600713216
"March",2013,93.9270349595632
"March",2013,85.3353976677673
"March",2013,93.4944763910152
"March",2013,91.8753326662929
"March",2013,92.383479623122
"March",2013,93.895623531363
"March",2013,92.2229526688799
"March",2013,92.0433451634914
"March",2013,91.6149126798726
"March",2013,93.5212156039268
"March",2013,44.5522591306594
"March",2013,89.2933243957781
"March",2013,76.2964181396207
"March",2013,68.8881812005336
"March",2013,93.0573735755978
"March",2013,91.2534803465583
"March",2013,84.5028815621619
"March",2013,80.5336357065108
"March",2013,85.0489553442086
"March",2013,94.6092160535618
"March",2013,93.8367485103333
"March",2013,86.5238209813548
"March",2013,93.2970777160066
"March",2013,93.1971185472751
"March",2013,94.3155578189867
"March",2013,39.4200636111185
"March",2013,49.6181511500547
"March",2013,48.4378705365489
"March",2013,94.6034801943627
"March",2013,93.7642457082084
"March",2013,94.2525133970579
"March",2013,92.5861333009811
"March",2013,91.8145569170189
"March",2013,92.2087835997642
"March",2013,80.1071857313722
"March",2013,93.1720258516866
"March",2013,82.3289386225562
"March",2013,92.9219019639929
"March",2013,86.619914279459
"March",2013,85.6003793514843
"March",2013,80.1503848302688
"March",2013,83.7093438014115
"March",2013,92.3919655354758
"March",2013,79.6790202950187
"March",2013,93.222128325058
"March",2013,67.1307443284791
"March",2013,78.1359814053884
"March",2013,75.7403272443563
"March",2013,87.1615300005926
"March",2013,85.946051158389
"March",2013,93.1755411425424
"March",2013,89.4968301383707
"March",2013,93.024216732617
"March",2013,77.4443573844731
"March",2013,93.4920915218225
"March",2013,79.3940502213922
"March",2013,90.1023953862872
"March",2013,88.3587411876801
"March",2013,55.3996947601539
"March",2013,91.3727836250374
"March",2013,87.2993628740034
"March",2013,91.8451752008414
"March",2013,83.8424058625284
"March",2013,76.168373974396
"March",2013,77.1326263718486
"March",2013,93.6387027334031
"March",2013,59.4729804374833
"March",2013,93.8226906312229
"March",2013,93.3436231036414
"March",2013,38.7628196750701
"March",2013,88.2864988609297
"March",2013,93.1535175353528
"March",2013,92.0589768937952
"March",2013,74.7207726981647
"March",2013,92.538256901567
"March",2013,82.3678371562039
"March",2013,88.9798607638422
"March",2013,90.8547414813524
"March",2013,89.0853860524638
"March",2013,90.2771877534666
"March",2013,80.8604035977075
"March",2013,81.9169022002273
"March",2013,94.537662679486
"March",2013,82.506492865078
"March",2013,90.9526584732236
"March",2013,84.0019923964993
"March",2013,87.5864168986406
"March",2013,90.6782131541047
"March",2013,92.6086488465709
"March",2013,93.6960284372766
"March",2013,94.2768948494704
"March",2013,93.6329563584717
"March",2013,94.002762961871
"March",2013,93.1586237248593
"March",2013,92.1394832342765
"March",2013,89.5898269789446
"March",2013,91.9355304298279
"March",2013,66.332420054014
"March",2013,90.3686775124772
"March",2013,91.617585452254
"March",2013,85.4159207137116
"March",2013,93.6319125703952
"March",2013,94.3928235925739
"March",2013,94.432480874106
"March",2013,94.1224856025993
"March",2013,91.9194970691758
"March",2013,92.8140586175283
"March",2013,80.166362437376
"March",2013,94.045329964257
"March",2013,86.3169860366485
"March",2013,91.2854403970941
"March",2013,90.7765164268623
"March",2013,85.966497513176
"March",2013,87.1687260060792
"March",2013,89.576122363458
"March",2013,94.1649912349909
"March",2013,89.8563825982998
"March",2013,54.8135543248137
"March",2013,89.4190253071837
"March",2013,78.778509123889
"March",2013,49.0930879045492
"March",2013,93.3767909857689
"March",2013,69.3851128285125
"March",2013,92.8483410856736
"March",2013,91.2203116873564
"March",2013,93.1170733390195
"March",2013,88.4589603004139
"March",2013,70.8724946819295
"March",2013,92.7238674642357
"March",2013,82.4566698575109
"March",2013,90.0825925137225
"March",2013,90.1477453878642
"March",2013,68.1983151021592
"March",2013,94.0478387387341
"March",2013,92.7008598658754
"March",2013,91.7056830425678
"March",2013,93.0570851962527
"March",2013,76.528660908287
"March",2013,90.8371622315096
"March",2013,89.8374899986844
"March",2013,91.9853079005383
"March",2013,76.4305357942394
"March",2013,92.7627209948277
"March",2013,84.9296604501587
"March",2013,93.4295488679553
"March",2013,80.1014281562886
"March",2013,89.8157471574544
"March",2013,83.6418648478794
"March",2013,80.9693729845691
"March",2013,90.1905923668484
"March",2013,89.2093798891626
"March",2013,85.341390305685
"March",2013,92.3050466798438
"March",2013,87.09169354251
"March",2013,65.2012274211113
"March",2013,86.8361593609548
"March",2013,94.1100689571504
"March",2013,89.5690640920373
"March",2013,86.1804325723189
"March",2013,92.4127736250201
"March",2013,58.6718556793451
"March",2013,84.8263284571455
"March",2013,93.5392689576483
"March",2013,89.9530932226559
"March",2013,93.1774564432865
"March",2013,92.884360443784
"March",2013,93.9264262892666
"March",2013,87.7254228388753
"March",2013,94.0331181901773
"March",2013,84.3279759557223
"March",2013,91.5819528385483
"March",2013,94.0297857068897
"March",2013,92.9392711564378
"March",2013,90.0520630129327
"March",2013,92.4172533742693
"March",2013,69.1582277675639
"March",2013,94.0450760895661
"March",2013,66.426445991976
"March",2013,91.1149710602473
"March",2013,93.6949606810077
"March",2013,88.3361340439843
"March",2013,93.1167800721918
"March",2013,83.4002197323493
"March",2013,87.2856559931007
"March",2013,91.2849455346693
"March",2013,94.0176505979462
"March",2013,81.6785127270458
"March",2013,91.5030143140326
"March",2013,94.2610817664989
"March",2013,94.1163739984545
"March",2013,94.3017477499132
"March",2013,90.177104650159
"March",2013,94.4350040529227
"March",2013,60.39218635402
"March",2013,91.76838761559
"March",2013,94.2434556733423
"March",2013,94.1256387289295
"March",2013,90.932281817187
"March",2013,70.5315717014455
"March",2013,87.1958260173433
"March",2013,72.6693192927326
"March",2013,92.8736875549037
"March",2013,92.3173715288373
"March",2013,88.8078840690018
"March",2013,88.8887329035762
"March",2013,91.9201145192966
"March",2013,89.3039379532203
"March",2013,94.216162444178
"March",2013,94.172932467167
"March",2013,93.2111585070373
"March",2013,94.0979154197479
"March",2013,94.0616813428067
"March",2013,92.3787634355583
"March",2013,92.9712852864381
"March",2013,90.9918541405346
"March",2013,94.0693590779109
"March",2013,91.8158453701728
"March",2013,92.6375081323662
"March",2013,90.6206417744888
"March",2013,91.5016028520064
"March",2013,93.6757204659537
"March",2013,88.9786188632523
"March",2013,83.0220133491885
"March",2013,92.9450151397843
"March",2013,65.6390735263212
"March",2013,93.2063930693888
"March",2013,88.8716084517213
"March",2013,93.8076101276409
"March",2013,91.9414976041365
"March",2013,91.6659514331454
"March",2013,90.822955569787
"March",2013,80.6269574887793
"March",2013,84.3219358388899
"March",2013,93.5039363928233
"March",2013,67.9372562974473
"March",2013,89.7340849561267
"March",2013,84.9106493737774
"March",2013,94.0509456569239
"March",2013,88.1403413851205
"March",2013,92.6613332217463
"March",2013,73.2567358195335
"March",2013,75.9918542371568
"March",2013,94.1747884608685
"March",2013,94.2701157433684
"March",2013,93.0767496675998
"March",2013,88.7993580653468
"March",2013,93.5915119909523
"March",2013,94.4594821226367
"March",2013,92.3493484733162
"March",2013,92.8800136767666
"March",2013,85.2324382552747
"March",2013,46.5060939404412
"March",2013,77.2331838298218
"March",2013,91.8404288400443
"March",2013,91.5946400622086
"March",2013,89.148733009561
"March",2013,87.7732146174079
"March",2013,87.35888580823
"March",2013,93.6492665484014
"March",2013,88.4663975048765
"March",2013,92.2433708462011
"March",2013,94.0942472887104
"March",2013,91.6793327174769
"March",2013,91.4558249126264
"March",2013,90.4342017895596
"March",2013,86.6844652785245
"March",2013,91.3407793474378
"March",2013,94.0398838139275
"March",2013,94.1981571392414
"March",2013,76.3710406473069
"March",2013,91.9978538528105
"March",2013,64.663332610061
"March",2013,94.4705020326178
"March",2013,92.5527913563921
"March",2013,94.2364368392926
"March",2013,92.492108253619
"March",2013,92.1952789554142
"March",2013,91.2437063979458
"March",2013,93.8849773102045
"March",2013,93.7706961067115
"March",2013,92.0303796866211
"March",2013,88.5461099483557
"March",2013,93.8034647798803
"March",2013,54.3396860435364
"March",2013,91.6983997696725
"March",2013,92.1712397487551
"March",2013,94.6011555929209
"March",2013,90.3983675084184
"March",2013,94.3409638425783
"March",2013,62.9229699391319
"March",2013,94.2629015053794
"March",2013,89.7993571795641
"March",2013,93.7310445671584
"March",2013,86.5972016887888
"March",2013,94.2788012805586
"March",2013,93.9663280472986
"March",2013,92.0285179597831
"March",2013,70.5758488619989
"March",2013,93.8329592226816
"March",2013,40.4880744715772
"March",2013,93.0568212378577
"March",2013,83.5289168728924
"March",2013,93.8164564647873
"March",2013,90.7807131674446
"March",2013,78.800993741723
"March",2013,90.8591937635992
"March",2013,91.8785021109761
"March",2013,82.8179289576085
"March",2013,80.7938601881183
"March",2013,88.4441975446
"March",2013,91.4273457138365
"March",2013,60.873053143627
"March",2013,89.9741435529926
"March",2013,93.1952323182083
"March",2013,92.0888757811021
"March",2013,85.4916777766169
"March",2013,83.6573437752587
"March",2013,94.0469644980493
"March",2013,90.0082008257564
"March",2013,91.8670819904316
"March",2013,94.081851809752
"March",2013,90.5327966806879
"March",2013,87.940601929796
"March",2013,93.506228773473
"March",2013,94.2696581059788
"March",2013,91.1383444495746
"March",2013,91.3612395037673
"March",2013,87.5524824278993
"March",2013,92.6150393837992
"March",2013,92.6753933741272
"March",2013,86.0146678616496
"March",2013,71.9693264120011
"March",2013,73.7330114584716
"March",2013,63.7376873191398
"March",2013,82.9727657396585
"March",2013,94.3721956944401
"March",2013,94.1644427712087
"March",2013,92.5516977352366
"March",2013,89.5555699904393
"March",2013,85.0649779279494
"March",2013,90.7133655895317
"March",2013,89.1484302979847
"March",2013,80.1638190623446
"March",2013,94.6004366889832
"March",2013,60.2225722291589
"March",2013,85.3316575896461
"March",2013,93.9946071764971
"March",2013,93.9480668341023
"March",2013,93.4444418749243
"March",2013,60.4521567799271
"March",2013,88.5537794130403
"March",2013,92.286280843195
"March",2013,90.3825152536268
"March",2013,94.4915852260237
"March",2013,91.0447529697276
"March",2013,92.3723089723798
"March",2013,93.7405302236317
"March",2013,75.0600967143185
"March",2013,89.7070805257063
"March",2013,81.7432910971572
"March",2013,94.3145824044822
"March",2013,87.3699614761547
"March",2013,93.2993201752371
"March",2013,86.8100446459798
"March",2013,60.4207589581259
"March",2013,89.1280350166739
"March",2013,94.4175224296083
"March",2013,93.6438557948935
"March",2013,93.2857863817766
"March",2013,83.4586526828728
"March",2013,67.8211944779466
"March",2013,82.919463140332
"March",2013,90.0126568487961
"March",2013,93.946606478672
"March",2013,94.5911162154189
"March",2013,73.1559701050996
"March",2013,93.1764717359852
"March",2013,90.8918274658345
"March",2013,90.6518059259089
"March",2013,83.8873017587414
"March",2013,80.7898708006396
"March",2013,93.6828633290493
"March",2013,91.1036284151249
"March",2013,89.7104215924908
"March",2013,90.3776124003511
"March",2013,83.8772550601722
"March",2013,79.2019577037264
"March",2013,81.634592696466
"March",2013,86.4082101940463
"March",2013,91.0337697657104
"March",2013,91.7131299692447
"March",2013,86.6898564188392
"March",2013,83.2697133134727
"March",2013,93.7842249744874
"March",2013,86.690954761074
"March",2013,92.479865375715
"March",2013,88.5816633295313
"March",2013,68.4332846305154
"March",2013,74.7785907623112
"March",2013,91.011244684444
"March",2013,79.6324220025452
"March",2013,94.3341317161543
"March",2013,78.3805325696924
"March",2013,91.1365822824008
"March",2013,83.6396845856277
"March",2013,92.3488201114969
"March",2013,52.5148982129472
"March",2013,88.5824190235212
"March",2013,90.4225993270397
"March",2013,78.1487715104382
"March",2013,92.0298964195225
"March",2013,92.256297814008
"March",2013,94.2335507609228
"March",2013,66.0485391544115
"March",2013,84.5660288498669
"March",2013,88.1990172192134
"March",2013,93.0902973581726
"March",2013,93.9130158204116
"March",2013,88.7320357662368
"March",2013,87.8489446097669
"March",2013,86.2597050121215
"March",2013,92.0602645814628
"March",2013,94.2395957988958
"March",2013,90.9868430486197
"March",2013,72.1992090739712
"March",2013,81.1384986717763
"March",2013,83.6323032125586
"March",2013,94.4120612800903
"March",2013,78.6786932121969
"March",2013,88.6297732702716
"March",2013,78.3421678413325
"March",2013,93.3158411905769
"March",2013,94.4310374950155
"March",2013,88.8318759549094
"March",2013,90.556632733591
"March",2013,91.1064492662982
"March",2013,51.0223417633912
"March",2013,92.0835729934663
"March",2013,94.3047652931811
"March",2013,88.3526142710037
"March",2013,86.384406522574
"March",2013,93.0931837307946
"March",2013,91.560862176543
"March",2013,91.2454935626583
"March",2013,91.9029148671147
"March",2013,72.5713653904358
"March",2013,94.1417874286013
"March",2013,87.4166922573387
"March",2013,91.7711353231848
"March",2013,92.5682669978443
"March",2013,94.3329772994358
"March",2013,90.6083663823317
"March",2013,93.417358274443
"March",2013,92.3817938634091
"March",2013,82.2814657829025
"March",2013,92.9094551616972
"March",2013,94.5766670895229
"March",2013,93.5447054150532
